Uniprot,Gene description,Organ,GO
P00797,Renin,Kidney,GO:0045177;GO:0005576;GO:0005615;GO:0005886;GO:0004190;GO:0005159;GO:0008233;GO:0005102;GO:0050435;GO:0002003;GO:0048469;GO:0071466;GO:0042756;GO:0009755;GO:0072051;GO:0001822;GO:0008584;GO:0001823;GO:0006508;GO:0008217;GO:0043408;GO:0002018;GO:0051591;GO:0070305;GO:0035902;GO:0032496
Q8N4F4,Solute carrier family 22 member 24,Kidney,GO:0005886;GO:0022857;GO:0006811;GO:0015711;GO:0008202;GO:0035382
A2RU54,H6 family homeobox 2,Kidney,GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:1990837;GO:0007420;GO:0030154;GO:0050673;GO:0042472;GO:0050679;GO:0048026;GO:2000648;GO:0006357;GO:0072089
Q9UHE5,N-acetyltransferase 8 (putative),Kidney,GO:0005789;GO:0005793;GO:0033116;GO:0016020;GO:0047198;GO:0004468;GO:0008080;GO:1990000;GO:0006749;GO:0018003;GO:0010628
Q8WWT9,Solute carrier family 13 member 3,Kidney,GO:0016323;GO:0070062;GO:0005886;GO:0015139;GO:0015137;GO:0005310;GO:0034634;GO:0015362;GO:0017153;GO:0015141;GO:0015746;GO:0006835;GO:0034775;GO:0006869;GO:0071422;GO:0150104
Q86VL8,Solute carrier family 47 member 2,Kidney,GO:0016324;GO:0016020;GO:0005886;GO:0015297;GO:0015101;GO:0140968;GO:0022857;GO:0042910;GO:0015695;GO:0055085;GO:1990961
Q9NQA5,Transient receptor potential cation channel subfamily V member 5,Kidney,GO:0016324;GO:0034704;GO:0005886;GO:0005262;GO:0005516;GO:0046872;GO:0055074;GO:0098703;GO:0070588;GO:0006816;GO:0060402;GO:0051289;GO:0035809
Q9H0W9,Chromosome 11 open reading frame 54,Kidney,GO:0070062;GO:0016604;GO:0005654;GO:0005634;GO:0016788;GO:0008270
Q9HBJ8,"Collectrin, amino acid transport regulator",Kidney,GO:0031526;GO:0005737;GO:0070062;GO:0005886;GO:0042803;GO:0017156;GO:0035773;GO:0051957;GO:1905737;GO:0022898;GO:0035493
P14920,D-amino acid oxidase,Kidney,GO:0042995;GO:0005737;GO:0005829;GO:0005576;GO:0005782;GO:0048786;GO:0003884;GO:0071949;GO:0043799;GO:0042802;GO:0055130;GO:0019478;GO:0036088;GO:0070178;GO:0007586;GO:0042416;GO:0070945;GO:0006562
