Uniprot,Gene description,Organ,GO
Q9BQQ7,Receptor transporter protein 3,Liver,GO:0005737;GO:0016020;GO:0046872;GO:0031849;GO:0001580;GO:0051205;GO:0006612
P02768,Albumin,Liver,GO:0072562;GO:0005737;GO:0005783;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0005794;GO:0005634;GO:0031093;GO:0032991;GO:0016209;GO:0005507;GO:0003677;GO:1903981;GO:0140272;GO:0005504;GO:0042802;GO:0051087;GO:0030170;GO:0015643;GO:0072732;GO:0009267;GO:0051902
Q9UK05,Growth differentiation factor 2,Liver,GO:0070062;GO:0005576;GO:0005615;GO:0005125;GO:0008083;GO:0043539;GO:0032924;GO:0001525;GO:0048514;GO:0030509;GO:0001569;GO:0051216;GO:0071773;GO:0006879;GO:0016525;GO:0043537;GO:0030308;GO:0008156;GO:0010596;GO:0001937;GO:0001503;GO:0001649;GO:0045766;GO:1903348;GO:0030513;GO:0061036;GO:0045893;GO:0045603;GO:0001938;GO:0030858;GO:0032757;GO:0045747;GO:0060391;GO:0045944;GO:0006366;GO:0001570
P02655,Apolipoprotein C2,Liver,GO:0042627;GO:0005769;GO:0005576;GO:0005615;GO:0034363;GO:0034362;GO:0034366;GO:0034361;GO:0055102;GO:0008289;GO:0060230;GO:0140677;GO:0016004;GO:0043274;GO:0033344;GO:0042632;GO:0034382;GO:0034371;GO:0034384;GO:0016042;GO:0042159;GO:0032375;GO:0045833;GO:0048261;GO:0010916;GO:0033700;GO:0045723;GO:0051006;GO:0010518;GO:0060697;GO:0010898;GO:0010902;GO:0043691;GO:0070328;GO:0034370;GO:0034372
P07358,Complement C8 beta chain,Liver,GO:0070062;GO:0005576;GO:0005615;GO:1903561;GO:0016020;GO:0005579;GO:0005886;GO:0044877;GO:0006956;GO:0006957;GO:0006958;GO:0006955;GO:0031640;GO:0050778
P35542,"Serum amyloid A4, constitutive",Liver,GO:0070062;GO:0005576;GO:0034364;GO:0006953
P00480,Ornithine transcarbamylase,Liver,GO:0005743;GO:0005759;GO:0005739;GO:0016597;GO:0042802;GO:0004585;GO:0042301;GO:0005543;GO:0097272;GO:0042450;GO:0019240;GO:0006526;GO:0001889;GO:0007494;GO:0055081;GO:0006593;GO:0070781;GO:0032868;GO:0009410;GO:0010043;GO:0000050
P22680,Cytochrome P450 family 7 subfamily A member 1,Liver,GO:0005789;GO:0043231;GO:0033782;GO:0008123;GO:0020037;GO:0005506;GO:0015721;GO:0006699;GO:0071397;GO:0071333;GO:0006707;GO:0042632;GO:0032966;GO:0045717;GO:0045542;GO:0070857;GO:0045471;GO:0016125
Q9UK55,Serpin family A member 10,Liver,GO:0005788;GO:0070062;GO:0005615;GO:0008201;GO:0004867;GO:0007596;GO:0097421
Q9NSA1,Fibroblast growth factor 21,Liver,GO:0005737;GO:0005576;GO:0005615;GO:0005104;GO:0008083;GO:0007267;GO:0071377;GO:0071333;GO:0071404;GO:0071466;GO:0030968;GO:0072577;GO:0008543;GO:2000352;GO:0022008;GO:0008284;GO:0120162;GO:0046326;GO:0070374;GO:1905599;GO:0043410;GO:0090080;GO:0010898;GO:0030334;GO:0010988;GO:0014823;GO:1904640;GO:0031667;GO:0007165
P06133,UDP glucuronosyltransferase family 2 member B4,Liver,GO:0005789;GO:0015020;GO:0052695;GO:0008210
Q06033,Inter-alpha-trypsin inhibitor heavy chain 3,Liver,GO:0070062;GO:0005576;GO:0031089;GO:0004866;GO:0004867;GO:0030212
P27169,Paraoxonase 1,Liver,GO:0072562;GO:0005789;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0046395;GO:0008203;GO:1901335;GO:0046434;GO:0046470;GO:0010875;GO:0009636
P08709,Coagulation factor VII,Liver,GO:0062023;GO:0005788;GO:0005576;GO:0005615;GO:0005796;GO:0005886;GO:1905286;GO:0031982;GO:0005509;GO:0004252;GO:0008236;GO:0005102;GO:0031100;GO:0007596;GO:0007623;GO:0030194;GO:0030335;GO:0002690;GO:0010641;GO:0050927;GO:0032008;GO:0016485;GO:1904612;GO:1905217;GO:0010037;GO:0070723;GO:0032355;GO:0043627;GO:0033595;GO:0060416;GO:0001666;GO:1904400;GO:1905225;GO:0097068;GO:0032571
P58166,Inhibin subunit beta E,Liver,GO:0062023;GO:0005615;GO:0005125;GO:0008083;GO:0005179
Q86U17,Serpin family A member 11,Liver,GO:0005615;GO:0004867
P00738,Haptoglobin,Liver,GO:0072562;GO:0071682;GO:0070062;GO:0005576;GO:0005615;GO:0031838;GO:0035580;GO:1904724;GO:0016209;GO:0030492;GO:0004252;GO:0006953;GO:0006952;GO:0042742;GO:0002376;GO:2000296;GO:0051354;GO:0042542
