Uniprot,Gene description,Organ,GO
Q5VTT5,Myomesin 3,Heart,GO:0031430;GO:0042803;GO:0045214
Q5VU43,Phosphodiesterase 4D interacting protein,Heart,GO:0005813;GO:0005737;GO:0005794;GO:0030016;GO:0005634;GO:0019899;GO:0060090;GO:0030953;GO:0007098;GO:0090063;GO:0065003;GO:1903358
Q92995,Ubiquitin specific peptidase 13,Heart,GO:0005829;GO:0005654;GO:0005634;GO:1904288;GO:0004843;GO:0004197;GO:1990380;GO:0070628;GO:0051087;GO:0043130;GO:0031625;GO:0044389;GO:0008270;GO:0006914;GO:0008283;GO:0036506;GO:0030318;GO:1904294;GO:0016579;GO:0035523;GO:0044313;GO:0070536;GO:0050821;GO:0006508;GO:0010506;GO:0006355;GO:0031647
Q75V66,Anoctamin 5,Heart,GO:0005789;GO:0005886;GO:0031982;GO:0005254;GO:0005229;GO:0046983;GO:1902476;GO:0034220;GO:0001778
Q96MF6,Coenzyme Q10A,Heart,GO:0005743;GO:0005739;GO:0048039;GO:0045333
Q9Y5Q5,"Corin, serine peptidase",Heart,GO:0015629;GO:0009986;GO:0005576;GO:0016604;GO:0005886;GO:0004175;GO:0004252;GO:0007565;GO:0016486;GO:0008217;GO:1903779;GO:0035813;GO:0003050
A5D6W6,Fat storage inducing transmembrane protein 1,Heart,GO:0005789;GO:0010945;GO:0019992;GO:0017129;GO:0140042;GO:0034389;GO:0019915;GO:0008654;GO:0010890
P22460,Potassium voltage-gated channel subfamily A member 5,Heart,GO:0009986;GO:0005794;GO:0014704;GO:0046691;GO:0016020;GO:0045121;GO:0048471;GO:0005886;GO:0034705;GO:0008076;GO:0030018;GO:0051393;GO:0005251;GO:0015271;GO:0019901;GO:0097110;GO:0005102;GO:0005249;GO:0086089;GO:0086087;GO:0086090;GO:0001508;GO:0086014;GO:0060081;GO:0098914;GO:0086050;GO:0086052;GO:0051481;GO:0007219;GO:1900087;GO:2000288;GO:0097623;GO:0055075;GO:0071805;GO:0006813;GO:0051260;GO:0060372;GO:0086091;GO:0050796;GO:0042391;GO:0043266;GO:0019229;GO:0042542;GO:0055093;GO:0001666;GO:0009612
Q9HAT1,"Lectin, mannose binding 1 like",Heart,GO:0062023;GO:0030134;GO:0005789;GO:0005793;GO:0033116;GO:0000139;GO:0005537;GO:0006888
Q5JR59,Microtubule associated scaffold protein 2,Heart,GO:0005737;GO:0045171;GO:0005874;GO:0015630;GO:0005634;GO:0008017;GO:0042803
