Uniprot,Gene description,Organ,GO
Q99578,Ras like without CAAX 2,Brain,GO:0044297;GO:0005737;GO:0005829;GO:0097447;GO:0005794;GO:0045121;GO:0043005;GO:0005654;GO:0005634;GO:0005886;GO:0045202;GO:0005516;GO:0003682;GO:0003925;GO:0019003;GO:0005525;GO:0003924;GO:0030215;GO:0007189;GO:0007268;GO:0035556;GO:0032507;GO:0010977;GO:0043410;GO:0010976;GO:0045944;GO:0007265;GO:0050848;GO:0032489;GO:0030100;GO:0007264
Q9P2U7,Solute carrier family 17 member 7,Brain,GO:0034707;GO:0060203;GO:0060076;GO:0016020;GO:0043005;GO:0005886;GO:0048786;GO:0030672;GO:0005254;GO:0005313;GO:0140788;GO:0005326;GO:0140787;GO:0015386;GO:0005436;GO:0006821;GO:0015813;GO:0006820;GO:0006811;GO:0003407;GO:0098700;GO:0006836;GO:0055062;GO:0006817;GO:0006813;GO:0050803;GO:1900242;GO:0044341;GO:0035249
P32239,Cholecystokinin B receptor,Brain,GO:0043231;GO:0005886;GO:0046935;GO:0004951;GO:0015054;GO:0017046;GO:0031741;GO:0007166;GO:0038188;GO:0048565;GO:0001696;GO:0048732;GO:0045851;GO:0007200;GO:0008284;GO:0007204
P17677,Growth associated protein 43,Brain,GO:0005737;GO:0030425;GO:0031527;GO:0098982;GO:0032584;GO:0043204;GO:0005886;GO:0014069;GO:0098793;GO:0005516;GO:0035727;GO:1901981;GO:0001786;GO:0048708;GO:0016198;GO:0031103;GO:0045165;GO:0007200;GO:0060019;GO:0051489;GO:0040008;GO:0099150;GO:0010996;GO:0009611;GO:0042246
P14867,Gamma-aminobutyric acid type A receptor subunit alpha1,Brain,GO:0034707;GO:0030659;GO:0032590;GO:0043197;GO:1902710;GO:1902711;GO:0098982;GO:0043005;GO:0005886;GO:0098794;GO:0099634;GO:0045202;GO:1902495;GO:0004890;GO:0022851;GO:1904315;GO:1902476;GO:0007214;GO:1904862;GO:0060078;GO:0051932
Q9H3M0,Potassium voltage-gated channel modifier subfamily F member 1,Brain,GO:0097546;GO:0016020;GO:0005886;GO:0008076;GO:0015459;GO:0005249;GO:0001508;GO:1905515;GO:0071805;GO:0006813;GO:0051260;GO:0043266
P02686,Myelin basic protein,Brain,GO:0071944;GO:0009986;GO:0043218;GO:0005829;GO:0033269;GO:0043209;GO:0043025;GO:0005634;GO:0005886;GO:0032991;GO:0045202;GO:0005516;GO:0008289;GO:0002020;GO:0019911;GO:0008366;GO:0007417;GO:0007268;GO:0006955;GO:0035633;GO:0000165;GO:0061024;GO:0042552;GO:0034115;GO:2000343;GO:0032755;GO:1904685;GO:0009636;GO:0007605;GO:0021762
Q9NQ03,Scratch family transcriptional repressor 2,Brain,GO:0000785;GO:0005634;GO:0000981;GO:0001227;GO:0070888;GO:0046872;GO:0000978;GO:1990837;GO:1902042;GO:0000122;GO:0006355;GO:2001222
Q15915,Zic family member 1,Brain,GO:0005737;GO:0005654;GO:0005634;GO:0001228;GO:0003700;GO:0000981;GO:0046872;GO:0000978;GO:1990837;GO:0007628;GO:0007420;GO:0030154;GO:0007417;GO:0010467;GO:0021766;GO:0042472;GO:0098727;GO:0021772;GO:0007389;GO:0045893;GO:0042307;GO:0008589;GO:0006357;GO:0021510
O00230,Cortistatin,Brain,GO:0005576;GO:0005615;GO:0045202;GO:0001664;GO:0005184;GO:0007193;GO:0007268;GO:0030334
