Uniprot,Gene description,Organ,GO
Q96LM9,Chromosome 20 open reading frame 173,Testis,GO:0016020;GO:0003836;GO:0010706;GO:0006486;GO:0097503
Q9NTU4,Catsper channel auxiliary subunit zeta,Testis,GO:0036128;GO:0005737;GO:0097228;GO:0030317;GO:0007140;GO:0048240;GO:0007283
Q9H3V2,Membrane spanning 4-domains A5,Testis,GO:0005886;GO:0007166
Q6P047,Chromosome 8 open reading frame 74,Testis,
Q8N6Q1,Transmembrane and coiled-coil domains 5A,Testis,GO:0016020
Q8IWZ5,Tripartite motif containing 42,Testis,GO:0061630;GO:0008270;GO:0016567
A0A1B0GU33,Testis expressed 53,Testis,
O75344,FKBP prolyl isomerase family member 6 (inactive),Testis,GO:0005737;GO:0005829;GO:0000795;GO:0005528;GO:0051879;GO:0042802;GO:0030154;GO:0051321;GO:0034587;GO:0045070;GO:0006457;GO:0031047;GO:0007283;GO:0141196
Q8WWF3,Serine rich single-pass membrane protein 1,Testis,GO:0016020
Q8TBZ9,Testis expressed 47,Testis,
Q8IV76,PAS domain containing repressor 1,Testis,GO:1990513;GO:1990512;GO:0016607;GO:0005634;GO:0140297;GO:0140416;GO:0032922;GO:0042754;GO:0045892;GO:0006357
Q5SQS8,Chromosome 10 open reading frame 120,Testis,
Q5SRN2,Testis expressed basic protein 1,Testis,GO:0016020;GO:0005634
O75459,PAGE family member 1,Testis,
Q96KW9,Sperm acrosome associated 7,Testis,GO:0043160;GO:0001669;GO:0005576;GO:0007338
C9JXX5,Chromosome 11 open reading frame 94,Testis,GO:0005789;GO:0030674;GO:0007342;GO:0035437;GO:0065003;GO:0035036
Q8IZS6,Dynein light chain Tctex-type 2,Testis,GO:0005737;GO:0005868;GO:0016020;GO:0005874;GO:0045505;GO:0007018
E9PQX1,Transmembrane protein 262,Testis,GO:0036128;GO:0031514
P0CV99,Testis specific protein Y-linked 4,Testis,GO:0000785;GO:0005737;GO:0005634;GO:0003682;GO:0042393;GO:0030154;GO:0007506;GO:0006334;GO:0007283
Q9H1H1,Gametocyte specific factor 1 like,Testis,GO:0046872
Q9NS26,"Sperm protein associated with the nucleus, X-linked, family member A1",Testis,GO:0005737;GO:0005634;GO:0007283
Q5T7R7,Chromosome 1 open reading frame 185,Testis,GO:0016020
Q8IXL9,IQ motif containing F2,Testis,GO:0005516
Q6A555,Thioredoxin domain containing 8,Testis,GO:0001669;GO:0005737;GO:0070062;GO:0005794;GO:0030154;GO:0007283
Q5VZ72,IZUMO family member 3,Testis,GO:0002079;GO:0005886;GO:0042803;GO:0001675
Q8N7R1,POM121 transmembrane nucleoporin like 12,Testis,
Q2M2E3,Outer dense fiber of sperm tails 4,Testis,GO:0016020;GO:0030154;GO:0007283
A0A1B0GUV7,Testis expressed 48,Testis,
Q8N831,TSPY like 6,Testis,GO:0000785;GO:0005634;GO:0003682;GO:0042393;GO:0006334
Q9GZK4,Olfactory receptor family 2 subfamily H member 1,Testis,GO:0005886;GO:0004930;GO:0004984;GO:0050911
Q8NEL0,Coiled-coil domain containing 54,Testis,
Q6NXS1,PPP1R2 family member B,Testis,GO:0004864;GO:0005977;GO:0035556;GO:0009966
A6NCI8,Chromosome 2 open reading frame 78,Testis,
O14598,Variable charge Y-linked 1B,Testis,GO:0007420
A6NGA9,Transmembrane protein 202,Testis,GO:0005886
Q9NNX9,Variable charge X-linked 3A,Testis,GO:0005730;GO:0005634;GO:0007420
Q8N9V2,Tripartite motif family like 1,Testis,GO:0005737;GO:0046872;GO:0061630;GO:0045087;GO:0016567;GO:0010468
Q8WW34,Transmembrane protein 239,Testis,GO:0016020
