Uniprot,Gene description,Organ,GO
Q8N6W0,CUGBP Elav-like family member 5,Brain,GO:0005737;GO:0005634;GO:1990904;GO:0003729;GO:0036002;GO:0006376;GO:0000381
Q15147,Phospholipase C beta 4,Brain,GO:0005829;GO:0005886;GO:0005509;GO:0004435;GO:0004629;GO:0007186;GO:0016042;GO:0046488;GO:0048015;GO:0160135;GO:0051209
Q9HBU9,Popeye domain containing 2,Heart,GO:0016020;GO:0042383;GO:0030552;GO:0007507;GO:0002027;GO:0042391;GO:0007519;GO:0051146
A5PLN7,Family with sequence similarity 149 member A,Liver,
Q9UIG8,Solute carrier organic anion transporter family member 3A1,Brain,GO:0016324;GO:0009925;GO:0016323;GO:0005886;GO:0008514;GO:0015132;GO:0015347;GO:0006811;GO:0051092;GO:0001934;GO:0015732;GO:0043252;GO:0150104
Q9P2U7,Solute carrier family 17 member 7,Brain,GO:0034707;GO:0060203;GO:0060076;GO:0016020;GO:0043005;GO:0005886;GO:0048786;GO:0030672;GO:0005254;GO:0005313;GO:0140788;GO:0005326;GO:0140787;GO:0015386;GO:0005436;GO:0006821;GO:0015813;GO:0006820;GO:0006811;GO:0003407;GO:0098700;GO:0006836;GO:0055062;GO:0006817;GO:0006813;GO:0050803;GO:1900242;GO:0044341;GO:0035249
P61968,LIM domain only 4,Brain,GO:0031252;GO:0090575;GO:0005667;GO:0140297;GO:0046872;GO:0003714;GO:0008045;GO:0031333;GO:0000122;GO:0001843;GO:0033674;GO:0045944;GO:0050865;GO:0042659;GO:0030334;GO:0021527;GO:0021520;GO:0048538;GO:0021514;GO:0003281
Q9Y617,Phosphoserine aminotransferase 1,Liver,GO:0005737;GO:0005829;GO:0070062;GO:0042802;GO:0004648;GO:0030170;GO:0006564;GO:0008615
O95343,SIX homeobox 3,Brain,GO:0000785;GO:0005634;GO:0005667;GO:0001228;GO:0000981;GO:0000978;GO:1990837;GO:0005102;GO:0001222;GO:1902742;GO:0007420;GO:0021846;GO:0002070;GO:0001654;GO:0021798;GO:0002088;GO:1990086;GO:0070306;GO:0045892;GO:0045665;GO:0014016;GO:0097402;GO:0003404;GO:0021983;GO:0009946;GO:1901987;GO:0042127;GO:2000177;GO:0061074;GO:1902692;GO:0006357;GO:0021537;GO:0021978;GO:0007601
Q6ZQQ6,WD repeat domain 87,Testis,
P07197,Neurofilament medium chain,Brain,GO:0030424;GO:0005737;GO:0005882;GO:0045111;GO:0097418;GO:0005883;GO:0099160;GO:0008017;GO:0005200;GO:0033693
Q6PKX4,Docking protein 6,Brain,GO:0005737;GO:0005829;GO:0007169;GO:0043410;GO:0007265
Q9Y4B6,DDB1 and CUL4 associated factor 1,Testis,GO:0005813;GO:0080008;GO:0005737;GO:0001650;GO:0005654;GO:0005634;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0030331;GO:0106310;GO:0072518;GO:0004711;GO:1990756;GO:0030183;GO:0035212;GO:0000122;GO:0045732;GO:0043687;GO:0043161;GO:0016567;GO:0033151
Q8NH16,Olfactory receptor family 2 subfamily L member 2,Testis,GO:0005886;GO:0004930;GO:0004984;GO:0050911
Q9GZN8,Chromosome 20 open reading frame 27,Brain,GO:0005615;GO:0008157;GO:1990845;GO:0042593;GO:1901224;GO:0010739;GO:0030511
Q96EH8,Neuralized E3 ubiquitin protein ligase 3,Kidney,GO:0005769;GO:0046872;GO:0061630;GO:0045087;GO:0016567;GO:0070086
P51172,Sodium channel epithelial 1 subunit delta,Testis,GO:0015629;GO:0016324;GO:0016020;GO:0005886;GO:0034706;GO:0015280;GO:0005272;GO:0071468;GO:1904045;GO:1904117;GO:0006883;GO:0008217;GO:0050914;GO:0050915;GO:0098719;GO:0035725
Q9NRM0,Solute carrier family 2 member 9,Liver,GO:0016324;GO:0016323;GO:0016020;GO:0005886;GO:0005351;GO:0055056;GO:0005353;GO:0015149;GO:0022857;GO:0015143;GO:1904659;GO:0015755;GO:0008645;GO:0015749;GO:0046415;GO:0015747
P01583,Interleukin 1 alpha,Testis,GO:0009986;GO:0005829;GO:0005576;GO:0005615;GO:0005634;GO:0005507;GO:0005125;GO:0005149;GO:0006915;GO:0034605;GO:0071222;GO:0002248;GO:0019221;GO:0035234;GO:0097192;GO:0001660;GO:0007507;GO:0006955;GO:0006954;GO:0006883;GO:0031424;GO:0008285;GO:1904445;GO:2001240;GO:0045766;GO:0043123;GO:0051781;GO:0001819;GO:0070374;GO:0010628;GO:0033092;GO:0032743;GO:0032755;GO:0046330;GO:0045840;GO:1902624;GO:0032308;GO:0050714;GO:0010893;GO:0032874;GO:0045944;GO:0032760;GO:0010575;GO:0032956;GO:0046688;GO:0010332;GO:0001666;GO:0033591;GO:0010193;GO:0007283
Q9H503,BANF family member 2,Testis,GO:0000793;GO:0005737;GO:0005634;GO:0003677;GO:0042802;GO:0051276
Q8N140,EP300 interacting inhibitor of differentiation 3,Testis,GO:0000781;GO:0005737;GO:0005730;GO:0005654;GO:0005634;GO:0030915;GO:0140588;GO:0006281;GO:0000724;GO:0016925;GO:0032204
P43366,MAGE family member B1,Testis,GO:0005634;GO:0000122
Q08828,Adenylate cyclase 1,Brain,GO:0005737;GO:0070062;GO:0098978;GO:0098686;GO:0045121;GO:0005886;GO:0098839;GO:0098793;GO:0098685;GO:0004016;GO:0005524;GO:0008294;GO:0005516;GO:0046872;GO:0007189;GO:0007409;GO:0006171;GO:0071277;GO:1904322;GO:0007623;GO:0035556;GO:0007616;GO:0150076;GO:0032793;GO:1900273;GO:0099171;GO:0042752;GO:0009410
A7MD48,Serine/arginine repetitive matrix 4,Brain,GO:0005634;GO:0042802;GO:0003729;GO:0030154;GO:0006397;GO:0007399;GO:0042551;GO:0000381;GO:0043484;GO:0008380;GO:0007605
Q8N7J2,APC membrane recruitment protein 2,Brain,GO:0005886;GO:0008013;GO:0005546;GO:0007398;GO:0090090;GO:0060828;GO:0016055
P00439,Phenylalanine hydroxylase,Liver,GO:0005829;GO:0005506;GO:0004505;GO:0008652;GO:0042423;GO:0006559;GO:0006571
P19113,Histidine decarboxylase,Brain,GO:0005737;GO:0005829;GO:0004398;GO:0030170;GO:0042423;GO:0001694;GO:0006548;GO:0006547
P0DMQ9,Chromosome 8 open reading frame 89,Testis,
Q8WUG5,Solute carrier family 22 member 17,Brain,GO:0031090;GO:0005886;GO:0005774;GO:0004888;GO:0022857;GO:0006879;GO:0015891
C9JQI7,Transmembrane protein 232,Testis,GO:0016020;GO:0001520;GO:0030030;GO:0030317;GO:0098544;GO:0160087;GO:0007283
Q9BWD1,Acetyl-CoA acetyltransferase 2,Liver,GO:0005737;GO:0005829;GO:0070062;GO:0005739;GO:0003985;GO:0006631;GO:0006629
Q9HAP6,"Lin-7 homolog B, crumbs cell polarity complex component",Brain,GO:0016323;GO:0005923;GO:0005911;GO:0097025;GO:0005886;GO:0098839;GO:0099092;GO:0098793;GO:0045202;GO:0030165;GO:0019904;GO:0019901;GO:0030674;GO:0006887;GO:0007269;GO:0015031;GO:0008582;GO:0048489
Q9H2A3,Neurogenin 2,Testis,GO:0000785;GO:0005634;GO:0000981;GO:0070888;GO:0046983;GO:1990837;GO:0061564;GO:0030900;GO:0051091;GO:0045944;GO:0007423
Q70EL3,Ubiquitin specific peptidase 50,Testis,GO:0005813;GO:0005737;GO:0005829;GO:0043197;GO:0030496;GO:0005634;GO:0014069;GO:0004843;GO:0019783;GO:0007032;GO:0035063;GO:2001056;GO:0032731;GO:0032741;GO:1900227;GO:0016579;GO:0007265;GO:1902749
Q96T92,INSM transcriptional repressor 2,Brain,GO:0005737;GO:0005634;GO:0017053;GO:0001227;GO:0046872;GO:0000978;GO:0000122;GO:0030182;GO:0010564
P02689,Peripheral myelin protein 2,Brain,GO:0005829;GO:0070062;GO:0043209;GO:0005634;GO:0015485;GO:0005504;GO:0015908;GO:0061024
Q05215,Early growth response 4,Brain,GO:0000785;GO:0005654;GO:0001228;GO:0003700;GO:0000981;GO:0046872;GO:0000978;GO:0043565;GO:1990837;GO:0008284;GO:0045944;GO:0006357
Q9H8M9,"Eva-1 homolog A, regulator of programmed cell death",Liver,GO:0005788;GO:0005789;GO:0043231;GO:0005765;GO:0005886;GO:0006915;GO:0006914
Q9BZA7,Protocadherin 11 X-linked,Brain,GO:0005886;GO:0005509;GO:0007155;GO:0007156
Q6Q6R5,Cysteine rich protein 3,Testis,GO:0005737;GO:0046872
