Uniprot,GO
Q9UI17,GO:0005737;GO:0005759;GO:0005739;GO:0047865;GO:0009055;GO:0003723;GO:0006579;GO:0042426;GO:0019695
Q6PFW1,GO:0005829;GO:0005886;GO:0033857;GO:0005524;GO:0000829;GO:0052723;GO:0000832;GO:0000828;GO:0000827;GO:0006020;GO:0032958;GO:0043647
Q96M43,GO:0005737
Q8N729,GO:0005576;GO:0001664;GO:0007631;GO:0007186;GO:0007218
Q9BU61,GO:0005743;GO:0005739;GO:0005634;GO:0032981
Q9Y5R2,GO:0070062;GO:0031012;GO:0005615;GO:0005886;GO:0032588;GO:0045296;GO:0008047;GO:0004222;GO:0008270;GO:0044331;GO:0098742;GO:0030574;GO:0050965;GO:0030198;GO:0010001;GO:0097150;GO:0006508
Q9Y5Q5,GO:0015629;GO:0009986;GO:0005576;GO:0016604;GO:0005886;GO:0004175;GO:0004252;GO:0007565;GO:0016486;GO:0008217;GO:1903779;GO:0035813;GO:0003050
Q9H115,GO:0070062;GO:0098978;GO:0070044;GO:0005483;GO:0019905;GO:0006886;GO:0010807;GO:0035494;GO:0035249
Q96M11,GO:0005814;GO:0005813;GO:0005929;GO:0005737;GO:0005829;GO:0097730;GO:0005634;GO:0005886;GO:0060271
Q9ULN7,
Q8WW36,GO:0005737;GO:0003729;GO:0003727;GO:0045182;GO:0008270;GO:2000767
Q9UJ99,GO:0005912;GO:0016342;GO:0008013;GO:0045296;GO:0005509;GO:0034332;GO:0016339;GO:0016477;GO:0000902;GO:0044331;GO:0007043;GO:0007156
Q9NXD2,GO:0005737;GO:0005829;GO:0046856
P08172,GO:0032279;GO:0043679;GO:0098981;GO:0030669;GO:0030425;GO:0098978;GO:0016020;GO:0043025;GO:0005886;GO:0045211;GO:0042734;GO:0032280;GO:0045202;GO:1990763;GO:0016907;GO:0007197;GO:0007188;GO:0007268;GO:0007213;GO:0007186;GO:0007187;GO:0007399;GO:0007207;GO:0099171;GO:0008016;GO:0006940;GO:0009615
A8MT33,GO:0045111;GO:0000795;GO:0007130
